,escola,postal_code,district,neighborhood,tipus,no2_corregit,no2_2017,census_track,renta,poblacio
109,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,42,40,9058,14977,1491
110,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,50,48,9062,13407,1140
111,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,52,50,9059,13874,1405
112,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,fons,37,36,9061,15707,1695
113,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,53,51,9062,13407,1140
114,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,la Sagrera,tràfic,42,40,9065,14110,1973
115,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,Navas,tràfic,60,58,9091,14386,1874
116,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,Navas,tràfic,62,60,9091,14386,1874
117,Escola El Sagrer (Sant Andreu),8027,Sant Andreu,Navas,tràfic,58,56,9089,14050,1484
118,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,42,40,9046,15903,1322
119,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,55,53,9049,14420,1314
120,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,54,52,9023,15409,1216
121,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,56,54,9017,14458,1539
122,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,54,52,9018,13773,1464
123,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,fons,48,46,9019,16043,2647
124,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,62,60,9022,16186,1215
125,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,49,47,9051,15324,1227
126,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,60,58,9049,14420,1314
127,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,49,47,9024,15312,1153
128,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,41,39,9047,16685,1526
129,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,44,42,9050,15805,1592
130,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,el Bon Pastor,tràfic,46,44,9015,10106,1813
131,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,el Bon Pastor,tràfic,52,50,9011,9812,1749
132,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,el Bon Pastor,tràfic,56,54,9015,10106,1813
133,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,pati,39,38,9024,15312,1153
134,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,pati,40,38,9024,15312,1153
135,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,aula,29,28,9024,15312,1153
136,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,aula,29,28,9024,15312,1153
137,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,49,47,9032,11944,2167
138,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,45,43,9031,16474,1175
139,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,41,39,9031,16474,1175
140,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,51,49,9039,14989,1565
141,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,44,42,9036,14671,1457
142,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,47,45,9030,15544,1503
143,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,el Bon Pastor,tràfic,52,50,9008,16141,1946
144,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,el Bon Pastor,tràfic,51,49,9008,16141,1946
145,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,fons,36,35,9025,15463,1182
146,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,fons,43,41,9025,15463,1182
147,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,38,37,9038,15502,1532
148,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,41,39,9027,16506,1318
149,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,44,42,9041,14383,1417
150,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,55,53,9045,15107,1414
151,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,42,40,9045,15107,1414
152,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,36,35,9044,14920,1416
153,Escola Can Fabra (Sant Andreu),8030,Sant Andreu,Sant Andreu de Palomar,tràfic,49,47,9025,15463,1182
154,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,tràfic,37,36,8041,8424,2443
155,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,tràfic,33,32,8047,9015,1569
156,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,tràfic,30,29,8043,11179,1160
157,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,fons,30,29,8047,9015,1569
158,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,fons,28,27,8047,9015,1569
159,Escola Calderon (Nou Barris),8031,Nou Barris,Can Peguera,tràfic,34,33,8048,8404,966
160,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,fons,27,26,8048,8404,966
161,Escola Calderon (Nou Barris),8031,Nou Barris,Can Peguera,tràfic,33,32,8048,8404,966
162,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,38,37,8037,11887,1514
163,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,42,40,8022,13653,1242
164,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,49,47,8022,13653,1242
165,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,fons,35,34,8026,13254,1460
166,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,41,39,8026,13254,1460
167,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,37,36,8027,14566,1313
168,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,38,37,8027,14566,1313
169,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,fons,37,36,8026,13254,1460
170,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,pati,31,30,8038,11332,1505
171,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,49,47,8028,12400,1068
172,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,40,38,8037,11887,1514
173,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,42,40,8035,12082,2368
174,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,fons,38,37,8033,11621,1459
175,Escola Calderon (Nou Barris),8042,Nou Barris,la Guineueta,tràfic,38,37,8215,13941,1487
176,Escola Calderon (Nou Barris),8042,Nou Barris,la Guineueta,tràfic,33,32,8054,13856,1695
177,Escola Calderon (Nou Barris),8042,Nou Barris,la Guineueta,fons,34,33,8215,13941,1487
178,Escola Calderon (Nou Barris),8042,Nou Barris,la Guineueta,tràfic,32,31,8215,13941,1487
179,Escola Calderon (Nou Barris),8042,Nou Barris,la Guineueta,tràfic,33,32,8050,15390,1423
180,Escola Calderon (Nou Barris),8042,Nou Barris,la Guineueta,tràfic,34,33,8050,15390,1423
181,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,tràfic,38,37,8038,11332,1505
182,Escola Calderon (Nou Barris),8016,Nou Barris,Porta,tràfic,41,39,8037,11887,1514
183,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,tràfic,51,49,8042,13658,1273
184,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,fons,40,38,8042,13658,1273
185,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,tràfic,40,38,8042,13658,1273
186,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,aula,19,18,8038,11332,1505
187,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,aula,19,18,8038,11332,1505
188,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,tràfic,60,58,8038,11332,1505
189,Escola Calderon (Nou Barris),8031,Nou Barris,el Turó de la Peira,fons,38,37,8040,8876,1688
